# id, cityname, citycode, airportname, airportcode
5675,La Fria,LFR,La Fria,LFR
5676,La Grande,LGD,Union County,LGD
5677,La Grange,LGC,Callaway,LGC
5678,La Macarena,LMC,La Macarena,LMC
5679,La Paz,LAP,Manuel Marquez de Leon,LAP
5680,La Paz,LPB,El Alto Intl,LPB
5681,La Pedrera,LPD,La Pedrera,LPD
5682,La Plata,LPG,La Plata,LPG
5683,La Primavera,LPE,La Primavera,LPE
5684,La Rochelle,LRH,Ile de Re,LRH
5685,La Romana,LRM,Casa de Campo Intl,LRM
5686,La Serena,LSC,La Florida,LSC
5687,La Union,LUI,La Union,LUI
5688,Lab Lab,LAB,Lab Lab,LAB
5689,Labasa,LBS,Labasa,LBS
5690,Labe,LEK,Tata,LEK
5691,Labrea,LBR,Labrea,LBR
5692,Labuan,LBU,Labuan,LBU
5693,Labuan Bajo,LBJ,Komodo,LBJ
5694,Labuha,LAH,Oesman Sadik,LAH
5695,Laconia,LCI,Municipal,LCI
5696,Lady Elliot Island,LYT,Lady Elliot Island,LYT
5697,Ladysmith,LAY,Ladysmith,LAY
5698,Lae,LAE,Nadzab,LAE
5699,Lae Island,LML,Lae Island,LML
5700,Lafayette,LAF,Purdue University,LAF
5701,Lafayette,LFT,Regional,LFT
5702,Lage,LCO,Lage,LCO
5703,Lages,LAJ,Correia Pinto,LAJ
5704,Laghouat,LOO,L\Mekrareg,LOO
5705,Lago Agrio,LGQ,Lago Agrio,LGQ
5706,Lagos,LOS,Murtala Muhammed Intl,LOS
5707,Lagos de Moreno,LOM,F. Primo de Verdad,LOM
5708,Lagunillas,LGY,Lagunillas,LGY
5709,Lahad Datu,LDU,Lahad Datu,LDU
5710,Lahore,LHE,Allama Iqbal Intl,LHE
5711,Lahr,LHA,Black Forest,LHA
5712,Lai,LTC,Lai,LTC
5713,Laiagam,LGM,Laiagam,LGM
5714,Lake Baringo,LBN,Lake Baringo,LBN
5715,Lake Charles,LCH,Chennault Intl,CWF
5716,Lake Charles,LCH,Regional,LCH
5717,Lake City,LCQ,Lake City Gateway,LCQ
5718,Lake Gregory,LGE,Mulan,LGE
5719,Lake Manyara,LKY,Lake Manyara,LKY
5720,Lake Minchumina,LMA,Lake Minchumina,LMA
5721,Lake Murray,LMY,Lake Murray,LMY
5722,Lake Nash,LNH,Lake Nash,LNH
5723,Lake Placid,LKP,Lake Placid,LKP
5724,Lake Turkana,LKU,Lake Turkana,LKU
5725,Lakeba Island,LKB,Lakeba Island,LKB
5726,Lakefield,LFP,Lakefield,LFP
5727,Lakeland,LAL,Linder Regional,LAL
5728,Lakeland Downs,LKD,Lakeland Downs,LKD
5729,Lakeview,LKV,Lake County,LKV
5730,Lakselv,LKL,Banak,LKL
5731,Lalibela,LLI,Lalibela,LLI
5732,Lamap,LPM,Malekoula,LPM
5733,Lamar,LAA,Municipal,LAA
5734,Lamassa,LMG,Lamassa,LMG
5735,Lambarene,LBQ,Lambarene,LBQ
5736,Lamen Bay,LNB,Lamen Bay,LNB
5737,Lamerd,LFM,Lamerd,LFM
5738,Lamidanda,LDN,Lamidanda,LDN
5739,Lampang,LPT,Lampang,LPT
5740,Lampedusa,LMP,Lampedusa,LMP
5741,Lamu,LAU,Manda,LAU
5742,Lanai City,LNY,Lanai City,LNY
5743,Lancaster,LNS,Lancaster,LNS
5744,Lander,LND,Hunt Field,LND
5745,Landivisiau,LDV,Landivisiau,LDV
5746,Land\s End,LEQ,St Just,LEQ
5747,Langeoog,LGO,Langeoog,LGO
5748,Langgur,LUV,Dumatubun,LUV
5749,Langimar,LNM,Langimar,LNM
5750,Langkawi,LGK,International,LGK
5751,Langtang,LTG,Langtang,LTG
5752,Lankaran,LLK,Lankaran,LLK
5753,Lannion,LAI,Lannion,LAI
5754,Lansdowne Station,LDW,Lansdowne Station,LDW
5755,Lansing,LAN,Capital Region Intl,LAN
5756,Lanzhou,LHW,Zhongchuan,LHW
5757,Laoag,LAO,International,LAO
5758,Laohekou,LHK,Laohekou,LHK
5759,LaPorte,LPO,Municipal,LPO
5760,Lappeenranta,LPP,Lappeenranta,LPP
5761,Lar,LRR,Lar,LRR
5762,Laramie,LAR,Regional,LAR
5763,Larantuka,LKA,Gewayantana,LKA
5764,Laredo,LRD,International,LRD
5765,Larisa,LRA,Thessalia,LRA
5766,Larnaca,LCA,Larnaca,LCA
5767,Las Cruces,LRU,International,LRU
5768,Las Gaviotas,LGT,Las Gaviotas,LGT
5769,Las Heras,LHS,Las Heras,LHS
5770,Las Khoreh,LKR,Las Khoreh,LKR
5771,Las Limas,LLH,Reginaldo Hammer,LLH
5772,Las Lomitas,LLS,Alferez A. Rodriguez,LLS
5773,Las Piedras,LSP,Josefa Camejo Intl,LSP
5774,Las Vegas,LAS,Boulder City Municipal,BLD
5775,Las Vegas,LAS,Henderson ExecutiveA,HSH
5776,Las Vegas,LAS,McCarran International,LAS
5777,Las Vegas,LAS,Nellis AFB,LSV
5778,Las Vegas,LAS,North Las Vegas Arpt,VGT
5779,Las Vegas,LVS,Municipal,LVS
5780,Lashio,LSH,Lashio,LSH
5781,Lastoursville,LTL,Lastoursville,LTL
5782,Latacunga,LTX,Cotapaxi International,LTX
5783,Latakia,LTK,Bassel al Assad Intl,LTK
5784,Latrobe,LBE,Arnold Palmer Regional,LBE
5785,Latrobe,LTB,Latrobe,LTB
5786,Latur,LTU,Latur,LTU
5787,Laucala Island,LUC,Laucala Island,LUC
5788,Launceston,LST,Launceston,LST
5789,Laura,LUU,Laura,LUU
5790,Laurie River,LRQ,Laurie River,LRQ
5791,Laval,LVA,Entrammes,LVA
5792,Lavan Island,LVP,Lavan Island,LVP
5793,Laverton,LVO,Laverton,LVO
5794,Lawas,LWY,Lawas,LWY
5795,Lawdar,LDR,Lawdar,LDR
5796,Lawn Hill,LWH,Lawn Hill,LWH
5797,Lawrence,LWC,Municipal,LWC
5798,Lawrence,LWM,Municipal,LWM
5799,Lawrenceville,LVL,Brunswick Municipal,LVL
5800,Lawrenceville,LWV,Vincennes Intl,LWV
5801,Lawrenceville,LZU,Gwinnett County,LZU
5802,Lawton/Fort Sill,LAW,Henry Post AAF,FSI
5803,Lawton/Fort Sill,LAW,Regional,LAW
5804,Layang-Layang Island,LAC,Layang-Layang Island,LAC
5805,Lazaro Cardenas,LZC,Lazaro Cardenas,LZC
5806,Le Havre,LEH,Octeville,LEH
5807,Le Mans,LME,Arnage,LME
5808,Le Mars,LRJ,Municipal,LRJ
5809,Le Puy,LPY,Loudes,LPY
5810,Le Touquet-Paris-Plage,LTQ,Le Touquet-Paris-Plage,LTQ
5811,Leadville,LXV,Lake County,LXV
5812,Learmonth,LEA,Learmonth,LEA
5813,Lebak,LWA,Lebak,LWA
5814,Lebakeng,LEF,Lebakeng,LEF
5815,Lebanon,LEB,Municipal,LEB
5816,Lecce,LCC,Galatina,LCC
5817,Leeds/Bradford,LBA,Airport,LBA
5818,Leesburg,LEE,International,LEE
5819,Leeuwarden,LWR,Air Base,LWR
5820,Legaspi,LGP,Legaspi,LGP
5821,Lehu,LHP,Lehu,LHP
5822,Leigh Creek,LGH,Leigh Creek,LGH
5823,Leinster,LER,Leinster,LER
5824,Leipzig/Halle,LEJ,Airport,LEJ
5825,Leitre,LTF,Leitre,LTF
5826,Lekana,LKC,Lekana,LKC
5827,Lekhwair,LKW,Lekhwair,LKW
5828,Leknes,LKN,Leknes,LKN
5829,Lekoni,LEO,Lekoni,LEO
5830,Lelystad,LEY,Lelystad,LEY
5831,Lemmon,LEM,Municipal,LEM
5832,Lencois,LEC,Horacio de Mattos,LEC
5833,Lengbati,LNC,Lengbati,LNC
5834,Leon,LEN,Leon,LEN
5835,Leonardtown,LTW,St Mary\s County Rgnl,LTW
5836,Leonora,LNO,Leonora,LNO
5837,Leopoldina,LEP,Leopoldina,LEP
5838,Lereh,LHI,Lereh,LHI
5839,Leribe,LRB,Leribe,LRB
5840,Leron Plains,LPN,Leron Plains,LPN
5841,Leros,LRS,Leros,LRS
5842,Les Sables-d\Olonne,LSO,Talmont,LSO
5843,Lese,LNG,Lese,LNG
5844,Leshukonskoye,LDG,Leshukonskoye,LDG
5845,Lesobeng,LES,Lesobeng,LES
5846,Lethem,LTM,Lethem,LTM
5847,Leticia,LET,Alfredo V. Cobb Intl,LET
5848,Letterkenny,LTR,Letterkenny,LTR
5849,Levuka,LEV,Bureta,LEV
5850,Lewisburg,LWB,Greenbrier Valley,LWB
5851,Lewiston,LWS,Nez Perce County,LWS
5852,Lewiston/Auburn,LEW,Municipal,LEW
5853,Lewistown,LWT,Municipal,LWT
5854,Lewoleba,LWE,Wunopito,LWE
5855,Lexington,LEX,Blue Grass,LEX
5856,Lexington,LXN,Jim Kelly Field,LXN
5857,Lhasa/Lasa,LXA,Gonggar,LXA
5858,Lhok Seumawe,LSW,Malikussaleh,LSW
5859,Lhok Sukon,LSX,Lhok Sukon,LSX
5860,Liangping,LIA,Liangping,LIA
5861,Lianshulu,LHU,Lianshulu,LHU
5862,Lianyungang,LYG,Baitabu,LYG
5863,Libenge,LIE,Libenge,LIE
5864,Liberal,LBL,Mid-America Regional,LBL
5865,Liberia,LIR,D. Oduber Quiros Intl,LIR
5866,Libo,LLB,Libo,LLB
5867,Liboi,LBK,Liboi,LBK
5868,Libreville,LBV,Leon M\ba Intl,LBV
5869,Lidkoping,LDK,Hovby,LDK
5870,Liege,LGG,Airport,LGG
5871,Liepaja,LPX,International,LPX
5872,Lifou,LIF,Ouanaham,LIF
5873,Lightning Ridge,LHG,Lightning Ridge,LHG
5874,Lihir Island,LNV,Kunaye,LNV
5875,Lihue,LIH,Lihue,LIH
5876,Lijiang,LJG,Sanyi,LJG
5877,Likiep Island,LIK,Likiep Island,LIK
5878,Likoma Island,LIX,Likoma Island,LIX
5879,Lille,LIL,Lesquin,LIL
5880,Lilongwe,LLW,Kamuzu Intl,LLW
5881,Lima,LIM,Jorge Chavez Intl,LIM
5882,Limbang,LMN,Limbang,LMN
5883,Limbunya Station,LIB,Limbunya Station,LIB
5884,Lime Acres,LMR,Finsch Mine,LMR
5885,Lime Village,LVD,Lime Village,LVD
5886,Limestone,LIZ,Loring Intl,LIZ
5887,Limnos,LXS,Limnos,LXS
5888,Limoges,LIG,Bellegarde,LIG
5889,Limon,LIC,Municipal,LIC
5890,Limon,LIO,International,LIO
5891,Limon,LMH,Limon,LMH
5892,Lincang,LNJ,Lincang,LNJ
5893,Lincoln,LNK,Lincoln,LNK
5894,Linda Downs,LLP,Linda Downs,LLP
5895,Lindeman Island,LDC,Lindeman Island,LDC
5896,Linden,LDJ,Linden,LDJ
5897,Lindi,LDI,Kikwetu,LDI
5898,Linfen,LFQ,Qiaoli,LFQ
5899,Linga Linga,LGN,Linga Linga,LGN
5900,Linkoping,LPI,City Airport,LPI
5901,Lins,LIP,Lucas Nogueira Garcez,LIP
5902,Linyi,LYI,Shubuling,LYI
5903,Linz,LNZ,Blue Danube,LNZ
5904,Lipetsk,LPK,Lipetsk,LPK
5905,Lisala,LIQ,Lisala,LIQ
5906,Lisbon,LIS,Airport,LIS
5907,Lismore,LSY,Lismore,LSY
5908,Lissadell,LLL,Lissadell,LLL
5909,Little Cayman,LYB,Edward Bodden,LYB
5910,Little Rock,LIT,B. & H. Clinton Natl,LIT
5911,Liupanshui,LPF,Yue Zhao,LPF
5912,Liuzhou,LZH,Bailian,LZH
5913,Livengood,LIV,Livengood Camp,LIV
5914,Livermore,LVK,Municipal,LVK
5915,Liverpool,LPL,John Lennon,LPL
5916,Livingston,LVM,Mission Field,LVM
5917,Livingstone,LVI,Livingstone,LVI
5918,Lizard Island,LZR,Lizard Island,LZR
5919,Ljubljana,LJU,Joze Pucnik,LJU
5920,Loani,LNQ,Loani,LNQ
5921,Lobatse,LOQ,Lobatse,LOQ
5922,Lobito,LLT,Lobito,LLT
5923,Lock,LOC,Lock,LOC
5924,Lock Haven,LHV,W T Piper Memorial,LHV
5925,Lodja,LJA,Lodja,LJA
5926,Lodwar,LOK,Lodwar,LOK
5927,Lodz,LCJ,Wladyslaw Reymont,LCJ
5928,Loei,LOE,Loei,LOE
5929,Loen Island,LOF,Loen Island,LOF
5930,Logan,LGU,Logan-Cache,LGU
5931,Loikaw,LIW,Loikaw,LIW
5932,Loja,LOH,Catamayo,LOH
5933,Lokichogio,LKG,Lokichogio,LKG
5934,Lome,LFW,G. Eyadema Intl,LFW
5935,Lompoc,LPC,Lompoc Apt,LPC
5936,Lompoc,LPC,Vandenberg AFB,VBG
5937,Loncopue,LCP,Loncopue,LCP
5938,Londolozi,LDZ,Londolozi,LDZ
5939,London,LON,Biggin Hill,BQH
5940,London,LON,City Airport,LCY
5941,London,LON,Gatwick,LGW
5942,London,LON,Heathrow,LHR
5943,London,LON,Luton,LTN
5944,London,LON,Southend,SEN
5945,London,LON,Stansted,STN
5946,London/Corbin,LOZ,Magee Field,LOZ
5947,Londrina,LDB,Jose Richa,LDB
5948,Lone Rock,LNR,Tri-County Regional,LNR
5949,Lonely,LNI,Air Station,LNI
5950,Long Akah,LKH,Long Akah,LKH
5951,Long Apung,LPU,Long Apung,LPU
5952,Long Banga,LBP,Long Banga,LBP
5953,Long Bawan,LBW,Yuvai Semaring,LBW
5954,Long Beach,LGB,Daugherty Field,LGB
5955,Long Island,LSJ,Long Island,LSJ
5956,Long Lellang,LGL,Long Lellang,LGL
5957,Long Semado,LSM,Long Semado,LSM
5958,Long Sukang,LSU,Long Sukang,LSU
5959,Longana,LOD,Longana,LOD
5960,Longreach,LRE,Longreach,LRE
5961,Longyan,LCX,Guanzhishan,LCX
5962,Longyearbyen,LYR,Svalbard,LYR
5963,Lonorore,LNE,Lonorore,LNE
5964,Lontras,LOI,Helmuth Baungartem,LOI
5965,Lopez Island,LPS,Lopez Island,LPS
5966,Loralai,LRG,Loralai,LRG
5967,Lord Howe Island,LDH,Lord Howe Island,LDH
5968,Lordsburg,LSB,Municipal,LSB
5969,Loreto,LTO,International,LTO
5970,Lorica,LRI,Lorica,LRI
5971,Lorient,LRT,Lann Bihoue,LRT
5972,Lorraine,LOA,Lorraine,LOA
5973,Los Alamos,LAM,Los Alamos,LAM
5974,Los Andes,LOB,San Rafael,LOB
5975,Los Angeles,LAX,International,LAX
5976,Los Angeles,LAX,Van Nuys,VNY
5977,Los Angeles,LAX,Whiteman,WHP
5978,Los Angeles,LSQ,Maria Dolores,LSQ
5979,Los Banos,LSN,Municipal,LSN
5980,Los Chiles,LSL,Los Chiles,LSL
5981,Los Menucos,LMD,Los Menucos,LMD
5982,Los Mochis,LMM,Fed. Valle del Fuerte,LMM
5983,Los Pijiguaos,LPJ,Armando Schwarck,LPJ
5984,Los Roques,LRV,Los Roques,LRV
5985,Los Tablones,LOX,Los Tablones,LOX
5986,Lossiemouth,LMO,RAF Station,LMO
5987,Lotus Vale Station,LTV,Lotus Vale Station,LTV
5988,Louis Trichardt,LCD,Louis Trichardt,LCD
5989,Louisa,LOW,Louisa Co.-Freeman Fld,LOW
5990,Louisburg,LFN,Triangle North Exec.,LFN
5991,Louisville,LMS,Winston County,LMS
5992,Louisville,SDF,Bowman Field,LOU
5993,Lourdes/Tarbes,LDE,Pyrenees,LDE
5994,Lovelock,LOL,Derby Field,LOL
5995,Lowai,LWI,Lowai,LWI
5996,Loyengalani,LOY,Loyengalani,LOY
5997,Luabo,LBM,Luabo,LBM
5998,Luanda,LAD,4 de Fevereiro,LAD
5999,Luang Namtha,LXG,Luang Namtha,LXG
6000,Luang Prabang,LPQ,International,LPQ
6001,Lubang,LBX,Lubang,LBX
6002,Lubbock,LBB,Preston Smith Intl,LBB
6003,Lubbock,LBB,Reese Airpark,REE
6004,Lublin,LUZ,Lublin,LUZ
6005,Lucapa,LBZ,Lucapa,LBZ
6006,Lucas do Rio Verde,LVR,Bom Futuro,LVR
6007,Lucca,LCV,Tassignano,LCV
6008,Lucenec,LUE,Lucenec,LUE
6009,Lucknow,LKO,Chaudhary Charan Singh,LKO
6010,Luderitz,LUD,Luderitz,LUD
6011,Ludhiana,LUH,Ludhiana,LUH
6012,Ludington,LDM,Mason County,LDM
6013,Luena,LUO,Luena,LUO
6014,Lufkin,LFK,Angelina County,LFK
6015,Lugano,LUG,Agno,LUG
6016,Lugh Ganane,LGX,Lugh Ganane,LGX
6017,Luiza,LZA,Luiza,LZA
6018,Lukla,LUA,Tenzing-Hillary,LUA
6019,Lukulu,LXU,Lukulu,LXU
6020,Lulea,LLA,Kallax,LLA
6021,Luliang,LLV,Luliang,LLV
6022,Lumberton,LBT,Municipal,LBT
6023,Lumbo,LFB,Lumbo,LFB
6024,Lumi,LMI,Lumi,LMI
6025,Lumidpau,LUB,Lumidpau,LUB
6026,Luoyang,LYA,Beijiao,LYA
6027,Luozi,LZI,Luozi,LZI
6028,Lusaka,LUN,International,LUN
6029,Lusambo,LBO,Lusambo,LBO
6030,Lusanga,LUS,Lusanga,LUS
6031,Lusk,LSK,Municipal,LSK
6032,Luwuk,LUW,S.Aminuddin Amir,LUW
6033,Luxembourg,LUX,Luxembourg,LUX
6034,Luxor,LXR,International,LXR
6035,Luzamba,LZM,Luzamba,LZM
6036,Luzhou,LZO,Lantian,LZO
6037,Lviv,LWO,International,LWO
6038,Lycksele,LYC,Lycksele,LYC
6039,Lydd,LYX,London Ashford,LYX
6040,Lynchburg,LYH,Regional-P. Glenn Fld,LYH
6041,Lyndhurst Station,LTP,Lyndhurst Station,LTP
6042,Lyndonville,LLX,Lyndonville,LLX
6043,Lyneham,LYE,RAF Station,LYE
6044,Lyon,LYS,Grenoble-St Geoirs,GNB
6045,Lyon,LYS,Bron,LYN
6046,Lyon,LYS,St-Exupery,LYS
6047,Lyons,LYO,Rice County Municipal,LYO
6048,Malargue,LGS,Comodoro D.R. Salomon,LGS
6049,Malda,LDA,Malda,LDA
6050,Malelane,LLE,Malelane,LLE
6051,Mali Losinj,LSZ,Mali Losinj,LSZ
6052,Mangshi,LUM,Dehong Mangshi,LUM
6053,Marsa Brega,LMQ,Marsa Brega,LMQ
6054,Matsu (Nangan),LZN,Matsu (Nangan),LZN
6055,Milan,MIL,Linate,LIN
6056,Monclova,LOV,V.Carranza Intl,LOV
6057,Mount Holly,LLY,South Jersey Regional,LLY
6058,Mulia,LII,Mulia,LII
6059,Munbil,LNF,Munbil,LNF
6060,New Laura,LUT,New Laura,LUT
6061,New York,NYC,LaGuardia,LGA
6062,Niamtougou,LRL,International,LRL
6063,North Platte,LBF,Regional(Lee Bird Fld),LBF
6064,Nyingchi/Linzhi,LZY,Mainling/Milin,LZY
6065,Palma,LMZ,Palma,LMZ
6066,Palopo,LLO,Lagaligo,LLO
6067,Paris,PAR,Le Bourget,LBG
6068,Phoenix,PHX,Luke AFB,LUF
6069,Pickens,LQK,Pickens,LQK
6070,Pinar del Rio,LCL,La Coloma,LCL
6071,Pontes e Lacerda,LCB,Pontes e Lacerda,LCB
6072,Praya,LOP,Lombok International,LOP
6073,Puerto Leguizamo,LQM,Caucaya,LQM
6074,Qalah-ye Now,LQN,Qalah-ye Now,LQN
6075,Rio Dulce,LCF,Las Vegas,LCF
6076,Romeoville,LOT,Lewis University,LOT
6077,Salima,LMB,Salima,LMB
6078,San Luis,LUQ,D. Cesar Raul Ojeda,LUQ
6079,Santana do Livramento,LVB,Santana do Livramento,LVB
6080,Seattle,SEA,Lake Union SPB,LKE
6081,Seo de Urgel,LEU,Seo de Urgel,LEU
6082,Shetland Islands,SDZ,Sumburgh,LSI
6083,Shetland Islands,SDZ,Lerwick/Tingwall,LWK
6084,Smolensk,LNX,Smolensk,LNX
6085,St Petersburg,LED,Pulkovo,LED
6086,St Petersburg,LED,Rzhevka,RVH
6087,St-Laurent du Maroni,LDX,St-Laurent du Maroni,LDX
6088,St-Tropez,LTT,La Mole,LTT
6089,Sumbawa,SWQ,Lunyuk,LYK
6090,Sydney,SYD,Palm Beach SPB,LBH
6091,Terre-de-Haut,LSS,Les Saintes,LSS
6092,Tzaneen,LTA,Tzaneen,LTA
6093,Wells,LWL,Municipal-Harriet Fld,LWL
6094,West Palm Beach,PBI,Palm Beach County Park,LNA
6095,Willoughby,LNN,Lost Nation Municipal,LNN
6096,Wise,LNP,Lonesome Pine,LNP
6097,Yichun(Heilongjiang),LDS,Lindu,LDS
6098,Yongzhou,LLF,Lingling,LLF
6099,Yuma,YUM,Laguna AAF,LGF
6100,Amasya,MZH,Merzifon,MZH
6101,Anchorage,ANC,Merrill Field,MRI
6102,Athens,MMI,McMinn County,MMI
6103,Baltimore,BWI,Martin State,MTN
6104,Bandar Mahshahr,MRX,Mahshahr,MRX
6105,Barre/Montpelier,MPV,Edward F. Knapp State,MPV
6106,Basel/Mulhouse,EAP,EuroAirport French FR,MLH
6107,Burlington/Mt Vernon,MVW,Skagit Regional,MVW
6108,Carbondale/Murphysboro,MDH,Southern Illinois,MDH
6109,Castro,WCA,Mocopulli,MHC
6110,Caticlan,MPH,Godofredo P. Ramos,MPH
6111,Chennai,MAA,International,MAA
6112,Chicago,CHI,Midway International,MDW
6113,Ciudad Mante,MMC,Ciudad Mante,MMC
6114,Columbia,CAE,McEntire JNGB,MMT
6115,Columbia/Mt Pleasant,MRC,Maury County,MRC
6116,Cut Nyak Dien,MEQ,Nagan Raya,MEQ
6117,Dayton,DAY,Wright Brothers,MGY
6118,Duesseldorf,DUS,Moenchengladbach,MGL
6119,Durham,MME,Tees Valley,MME
6120,Fairbanks,FAI,Metro Field,MTX
6121,Fort Indiantown Gap,MUI,Muir AAF,MUI
6122,Franceville,MVB,Mvengue,MVB
6123,Harrisburg,HAR,International,MDT
6124,Hoolehua,MKK,Molokai,MKK
6125,Jackson,MJQ,Municipal,MJQ
6126,Jackson,MKL,McKellar-Sipes Rgnl,MKL
6127,Kamuela,MUE,Waimea-Kohala,MUE
6128,Kansas City,MKC,New Century Aircenter,JCI
6129,Kansas City,MKC,International,MCI
6130,Kansas City,MKC,C.B. Wheeler Downtown,MKC
6131,Kansas City,MKC,Johnson Co Executive,OJC
6132,Katima Mulilo,MPA,Mpacha,MPA
6133,Kayenta,MVM,Kayenta,MVM
6134,Khonu,MQJ,Moma,MQJ
6135,Laurinburg/Maxton,MXE,Laurinburg/Maxton,MXE
6136,Maan,MPQ,Maan,MPQ
6137,Maasai Mara,MRE,Mara Serena,MRE
6138,Maastricht,MST,Maastricht/Aachen,MST
6139,Mabua,MPU,Mabua,MPU
6140,Macae,MEA,Benedito Lacerda,MEA
6141,Macapa,MCP,Alberto Alcolumbre Int,MCP
6142,Macara,MRR,J.M. Velasco Ibarra,MRR
6143,Macau,MFM,International,MFM
6144,MacDonald Downs,MNW,MacDonald Downs,MNW
6145,Maceio,MCZ,Zumbi dos Palmares Int,MCZ
6146,Macenta,MCA,Macenta,MCA
6147,Machala,MCH,General Manuel Serrano,MCH
6148,Mackay,MKY,Mackay,MKY
6149,Mackinac Island,MCD,Mackinac Island,MCD
6150,Macksville,MVH,Macksville,MVH
6151,Macomb,MQB,Municipal,MQB
6152,Macon,MCN,Downtown Apt,MAC
6153,Macon,MCN,Middle Georgia Rgnl,MCN
6154,Madang,MAG,Madang,MAG
6155,Madera,MAE,Municipal,MAE
6156,Madinah,MED,Mohammad Bin Abdulaziz,MED
6157,Madison,MDN,Municipal,MDN
6158,Madison,MSN,Dane County Regional,MSN
6159,Madras,MDJ,Municipal,MDJ
6160,Madrid,MAD,Adolfo Suarez-Barajas,MAD
6161,Madrid,MAD,Torrejon,TOJ
6162,Mae Sot,MAQ,Mae Sot,MAQ
6163,Maewo Island,MWF,Naone,MWF
6164,Mafeteng,MFC,Mafeteng,MFC
6165,Mafia Island,MFA,Mafia Island,MFA
6166,Magangue,MGN,Baracoa,MGN
6167,Maganja da Costa,MJS,Maganja da Costa,MJS
6168,Magaruque Island,MFW,Magaruque Island,MFW
6169,Magdalena,MGD,Magdalena,MGD
6170,Magnitogorsk,MQF,Magnitogorsk,MQF
6171,Magong,MZG,Magong,MZG
6172,Magway,MWQ,Magway,MWQ
6173,Mahajanga,MJN,Philibert Tsiranana,MJN
6174,Mahdia,MHA,Mahdia,MHA
6175,Mahenye,MJW,Mahenye,MJW
6176,Maiana,MNK,Maiana,MNK
6177,Maicao,MCJ,Jorge Isaacs,MCJ
6178,Maiduguri,MIU,International,MIU
6179,Maimanah,MMZ,Maimanah,MMZ
6180,Mainoru,MIZ,Mainoru,MIZ
6181,Maintirano,MXT,Maintirano,MXT
6182,Maio Island,MMO,Maio Island,MMO
6183,Maitland,MTL,Maitland,MTL
6184,Majkin,MJE,Majkin,MJE
6185,Majuro,MAJ,Amata Kabua Intl,MAJ
6186,Makemo,MKP,Makemo,MKP
6187,Makhachkala,MCX,Uytash,MCX
6188,Makin,MTK,Makin,MTK
6189,Makini,MPG,Makini,MPG
6190,Makokou,MKU,Makokou,MKU
6191,Makoua,MKJ,Makoua,MKJ
6192,Makurdi,MDI,Makurdi,MDI
6193,Mal Island,MMV,Mal Island,MMV
6194,Malabang,MLP,Malabang,MLP
6195,Malacca,MKZ,Malacca,MKZ
6196,Malad City,MLD,Malad City,MLD
6197,Malakal,MAK,Malakal,MAK
6198,Malalaua,MLQ,Malalaua,MLQ
6199,Malam,MQO,Malam,MQO
6200,Malang,MLG,Abdul Rachman Saleh,MLG
6201,Malanje,MEG,Malanje,MEG
6202,Malatya,MLX,Erhac,MLX
6203,Malden,MAW,Regional,MAW
6204,Male,MLE,Ibrahim Nasir Intl,MLE
6205,Malekolon,MKN,Malekolon,MKN
6206,Maliana,MPT,Maliana,MPT
6207,Malindi,MYD,Malindi,MYD
6208,Malmo,MMA,Airport,MMX
6209,Maloelap Atoll,MAV,Taroa Island,MAV
6210,Malta,MLA,Luqa International,MLA
6211,Malta,MLK,Malta,MLK
6212,Mamai,MAP,Mamai,MAP
6213,Mamburao,MBO,Mamburao,MBO
6214,Mamfe,MMF,Mamfe,MMF
6215,Mamitupo,MPI,Mamitupo,MPI
6216,Mammoth Lakes,MMH,Mammoth Yosemite,MMH
6217,Mamuju,MJU,Tampa Padang,MJU
6218,Man,MJC,Man,MJC
6219,Mana Island,MNF,Mana Island,MNF
6220,Manado,MDC,Sam Ratulangi,MDC
6221,Managua,MGA,Augusto C. Sandino,MGA
6222,Mananjary,MNJ,Mananjary,MNJ
6223,Manari,MRM,Manari,MRM
6224,Manassas,MNZ,Regional,MNZ
6225,Manatee,MZE,Manatee,MZE
6226,Manaung,MGU,Manaung,MGU
6227,Manaus,MAO,Eduardo Gomes Intl,MAO
6228,Manaus,MAO,Ponta Pelada AB,PLL
6229,Manchester,MAN,Airport,MAN
6230,Manchester,MHT,Manchester-Boston Rgnl,MHT
6231,Mandalay,MDL,International,MDL
6232,Mandalay,MDL,Chan Mya Thazi,VBC
6233,Mandalgovi,MXW,Mandalgovi,MXW
6234,Mandora Station,MQA,Mandora Station,MQA
6235,Manega,MGO,Manega,MGO
6236,Manetai,MVI,Manetai,MVI
6237,Manga,MGP,Manga,MGP
6238,Mangaia Island,MGS,Auau,MGS
6239,Mangochi,MAI,Mangochi,MAI
6240,Mangole,MAL,Falabisahaya,MAL
6241,Mangrove Cay,MAY,Clarence A. Bain,MAY
6242,Manguna,MFO,Manguna,MFO
6243,Manhattan,MHK,Regional,MHK
6244,Manicore,MNX,Manicore,MNX
6245,Manihiki Atoll,MHX,Manihiki Atoll,MHX
6246,Manila,MNL,Ninoy Aquino Intl,MNL
6247,Manila,MNL,Danilo Atienza AB,SGL
6248,Manila,MXA,Municipal,MXA
6249,Maningrida,MNG,Maningrida,MNG
6250,Manistee,MBL,Manistee Co. Blacker,MBL
6251,Manitowoc,MTW,Manitowoc County,MTW
6252,Manizales,MZL,La Nubia,MZL
6253,Manja,MJA,Manja,MJA
6254,Manjimup,MJP,Manjimup,MJP
