# id, cityname, citycode, airportname, airportcode
8621,Sequim,SQV,Sequim Valley,SQV
8622,Seronera,SEU,Seronera,SEU
8623,Sesheke,SJQ,Sesheke,SJQ
8624,Seshote,SHZ,Seshote,SHZ
8625,Sesriem,SZM,Sesriem,SZM
8626,Severodonetsk,SEV,Severodonetsk,SEV
8627,Sevilla,SVQ,Airport,SVQ
8628,Seward,SWD,Seward,SWD
8629,Seymour,SER,Freeman Municipal,SER
8630,Sfax,SFA,Thyna,SFA
8631,Shageluk,SHX,Shageluk,SHX
8632,Shakawe,SWX,Shakawe,SWX
8633,Shakiso,SKR,Shakiso,SKR
8634,Shaktoolik,SKK,Shaktoolik,SKK
8635,Shanghai,SHA,Pudong Intl,PVG
8636,Shanghai,SHA,Hongqiao Intl,SHA
8637,Shangrao,SQD,Sanqingshan,SQD
8638,Shannon,SNN,International,SNN
8639,Shanshan,SXJ,Shanshan,SXJ
8640,Shantou,SWA,Jieyang Chaoshan,SWA
8641,Sharjah,SHJ,Sharjah,SHJ
8642,Sharm el-Sheikh,SSH,International,SSH
8643,Sharurah,SHW,Sharurah,SHW
8644,Shaw River,SWB,Shaw River,SWB
8645,Shawnee,SNL,Regional,SNL
8646,Shay Gap,SGP,Shay Gap,SGP
8647,Sheboygan,SBM,Sheboygan County Mem.,SBM
8648,Sheep Mountain,SMU,Sheep Mountain,SMU
8649,Sheghnan,SGA,Sheghnan,SGA
8650,Shelby,SBX,Shelby,SBX
8651,Shelbyville,SYI,Municipal-Bomar Field,SYI
8652,Shelton,SHN,Sanderson Field,SHN
8653,Shemya,SYA,Eareckson Air Station,SYA
8654,Shenyang,SHE,Taoxian Intl,SHE
8655,Shenzhen,SZX,Bao\an Intl,SZX
8656,Shepparton,SHT,Shepparton,SHT
8657,Sheridan,SHR,Sheridan County,SHR
8658,Shetland Islands,SDZ,Sumburgh,LSI
8659,Shetland Islands,SDZ,Lerwick/Tingwall,LWK
8660,Shetland Islands,SDZ,Scatsta,SCS
8661,Shihezi,SHF,Huayuan,SHF
8662,Shijiazhuang,SJW,Zhengding Intl,SJW
8663,Shillong,SHL,Barapani,SHL
8664,Shimla,SLV,Shimla,SLV
8665,Shimojishima,SHI,Shimojishima,SHI
8666,Shinyanga,SHY,Ibadakuli,SHY
